sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Guillier Álvarez, Alejandro",2016-08-09,30,Congreso Nacional,Biología social,"Gutiérrez Sotelo, Humberto",Humberto Gutiérrez Sotelo
"Ossandón Irarrázabal, Manuel José",2016-08-08,30,Oficina Senador Ex Congreso - Morandé 441,Plantear la problemática del cierre de las Escuelas Especiales debido a la Reforma Educacional.,"Mardones, Alicia Johanna",Alicia Mardones Cando
"Lagos Weber, Ricardo",2016-08-08,30,Ex Congreso Nacional,Manifestaron necesidad de mejorar el acceso de organizaciones de la sociedad civil al Senado.,"Echecopar, Rodrigo; Jaraquemada, María; Miquel Munizaga, Cristián Francisco; Ibarra, Paulina; De la Maza, Camila; Schiappacasse Araya, Jorge Arturo; Larraín, Luis",Espacio Publico
"Ossandón Irarrázabal, Manuel José",2016-08-08,30,Oficina Senador Ex Congreso - Morandé 441,Visibilizar la importancia de los fonoaudiólogos en todas las edades de la persona.,"pavez toro, Lisette Edith",Coordinación Nacional Más Fonoaudiólogos
"Guillier Álvarez, Alejandro",2016-08-08,30,Ex Congreso Nacional,Presentación de proyecto de asignación de naturaleza pecuniaria en beneficio del personal Especialista en Seguridad Aeroportuaria que presta servicios en unidades aeroportuarias de responsabilidad de la Dirección General de Aeronáutica Civil a nivel nacional.,"VERGARA DAVAGNINO, RODRIGO; VILLAR RODRIGUEZ, CLAUDIO ALEJANDRO; OSORIO GODOY, LUIS ARNOLDO; UBEDA LAZCANO, FERNANDO ALEJANDRO",ASOCIACIÓN NACIONAL DE FUNCIONARIOS ESPECIALISTAS EN SEGURIDAD AEROPORTUARIA DE LA DIRECCIÓN GENERAL DE AERONAUTICA CIVIL
"Araya Guerrero, Pedro",2016-08-08,30,Oficina parlamentaria Senado,Fueron recibidos por el Asesor Legislativo Robert Angelbeck,"Ortiz Tello, Raul Claudio",Comité Retail Financiero - camara de comercio de Santiago
"Quinteros Lara, Rabindranath",2016-08-08,45,senado Morande 441 2do. piso,Dar a conocer sobre la problemática de la industria del salmón en la región y el país.,"Sandoval Precht, Felipe; Puchi, Victor Hugo; Vial, Carlos; Cortez, Gaston; Baltierra, Maria Alicia; Gutiérrez, Josè Ramón",Asocacion de la Industria del Salmón de Chile AG
"Guillier Álvarez, Alejandro",2016-08-08,30,Ex Congreso Nacional,"Boletín Nº S 1.813-12 del 22 de junio de 2015, Proyecto de acuerdo del senado para la elaboración de una Política Pública para la Aviación General sin fines de lucro","Arellano Venegas, Marcos; Schneider Ponce, Pablo; SANTAMARIA KOCH, ROBERTO; Squella Espina, Oscar Eduardo",Federación Aerea de Chile
"García Huidobro Sanfuentes, Alejandro",2016-08-08,60,MORANDE 441 SANTIAGO,PROYECTO DE LEY QUE MODERNIZA LEGISLACION ADUANERA,"León Santibáñez, Javier; Werner Méndez, Kenneth; ESPEJO VIDAL, RAMON SOLANO; HERRERA RIVERA, CRISTIAN ERASMO; Stephens Sotomayor, Juan Sebastián; Vio Zahr, Jorge Sebastián; Achurra Zúñiga, María Paulina",Cámara Aduanera de Chile A.G.
"Ossandón Irarrázabal, Manuel José",2016-08-08,60,Oficina Senador Ex Congreso - Morandé 441,"Somos un grupo de profesionales que dependendemos técnica y administrativamente del Área de Salud de la Corporación Municipal de la Florida y desde hace 12 años gestionamos y construimos un modelo de salud mental comunitaria, para atender y desestigmatizar y fortalecer los procesos de ciudadanía de personas con trastornos psiquiátricos severos y consumo adictivo de drogas.","silva valdebenito, cristian marcelo",salud-educacion
"Ossandón Irarrázabal, Manuel José",2016-08-08,45,Oficina Senador Ex Congreso - Morandé 441,"Somos un grupo de ciudadanos, electores de la Región Metropolitana organizados en la Plataforma Chile Mejor sin TPP. Deseamos  pedirle que se sume al rechazo al Tratado, ya que la discusión del Acuerdo de las Transnacionales, el TPP, desconoció el rol del Parlamento.","Muñoz Gómez, Paula; Acevedo Menanteau, Paulina Alejandra; Muñoz, Paula",Plataforma Chile Mejor Sin TPP
"Bianchi Chelech, Carlos",2016-08-08,15,oficina senador Bianchi,reparación en pre propuesta proyecto 93 del mes de julio del año 2014 presentado por la H. Diputada Karol Carriola,"Burgos, Adriana; Daza Guerra, Luis Marcelo",Asociación de Exonerados Políticos Públicos en el Gobierno de Sebastian Piñera.
"Guillier Álvarez, Alejandro",2016-08-08,30,Ex Congreso Nacional,"Proyecto de ley sobre despenalización del aborto en 3 causales, Boletín 9895-11. Plantear puntos de preocupación de Amnistía Internacional y Corporación Humanas en relación a cómo ha avanzado la discusión y conocer la posición del Senador al respecto.","Piquer Romo, Ana Amancay; Maturana, Camila",Corporación apoyo a Amnistía Internacional
"Angelbeck Silva, Robert Patrick",2016-08-08,45,Oficina Senado Santiago,Proyecto de Ley de Fortalecimiento del Sernac (Boletín N° 9.369-03),"LEBUY MARTINEZ, JERARDO; LAULIÉ ÁVALOS, PAUL DAVID GERARD; BUSTAMANTE VERA, FRANCISCO JAVIER",Asociación de Funcionarios del Sernac
"Angelbeck Silva, Robert Patrick",2016-08-08,60,Oficina Senado Santiago,"Proyecto de Ley que Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores (Boletín N° 9369-03)","Ortiz Tello, Raul Claudio; Escalona, Eduardo; Albornoz Serrano, Hernan Marcelo",CAMARA DE COMERCIO DE SANTIAGO - COMITÉ RETAIL FINANCIERO
"Guillier Álvarez, Alejandro",2016-08-08,30,Ex Congreso Nacional,Previsión,"Uthoff Botk, Andras",Andras Uthoff Botk
"Quinteros Lara, Rabindranath",2016-08-08,20,Senado,Dar a conocer sus inquietudes sobre el Proyecto de Ley sobre estacionamientos actualmente en trámite.,"Curihual Huircan, Jaime; Del Solar Agüero, Felipe; Barrueto Avalos, Felipe; Allendes, Fernando","Asociación Chilena de Propietarios, Operadores y Concesionarios de Estacionamientos (APOCE A.G)"
"Tuma Zedán, Eugenio",2016-08-08,45,Ex Congreso,"Fiden AG, es la Asociación Gremial que agrupa a los Operadores,Fabricantes e Importadores de Entretenimientos Electrónicos.Fundada en el año 2003. Queremos por la presente solicitar formalmente a Ud. a fin de concretar un encuentro que nos permita conocer nuestros puntos de encuentro y conversar sobre los últimos acontecimientos sobre el rubro y las acciones de la Superintendencia de Casino de Juego.","Hadad A, Alberto; Curihual Huircan, Jaime; Salazar Bastidas, Sebastian","Asociacion Gremial de Operadores, Fabricantes e importadores de Entretenimientos Electronicos."
"Walker Prieto, Patricio",2016-08-05,20,Oficina Parlamentaria - Ignacio Serrano 509 - Coyhaique,Modificación Reglamento Beca Patagonia Aysén - Proyección Becas en la Región de Aysén.,"BRAVO CATALÁN, MARGARITA EUGENIA; ECHAVEGUREN NAVARRRO, MARIANA; Campos Uribe, María Angélica; Barrales Fierro, Jeannette",Agrupación Sembrando Futuro para Aysén
"Montes Cisternas, Carlos",2016-08-04,30,Ex Congreso,"Se recibe la posición de los trabajadores de las agencias de Aduana sobre el proyecto en análisis.
Se realizan consultas para mejorar la información disponible sobre sus alcances.","GUZMAN BOZZO, PATRICIO GUSTAVO; SCHULTZ VERA, EDISON",SINDICATO INTEREMPRESAS NACIONAL TRABAJADORES DE AGENCIAS DE ADUANAS DE CHILE
"Quintana Leal, Jaime",2016-08-03,30,Vicepresidencia Senado,Escuchar sus planteamientos sobre la Ley Ricardo Larraín que beneficia a los actores en cuanto a sus derechos en las obras escénicas.,"Aguila Araya, Rodrigo Antonio",Corporación de Actores de Chile
"Guillier Álvarez, Alejandro",2016-08-03,30,Congreso Nacional,PROYECTO DE LEY QUE MODERNIZA LA LEGISLACION ADUANERA,"León Santibáñez, Javier; Werner Méndez, Kenneth; ESPEJO VIDAL, RAMON SOLANO; HERRERA RIVERA, CRISTIAN ERASMO; Stephens Sotomayor, Juan Sebastián; Vio Zahr, Jorge Sebastián",Cámara Aduanera de Chile A.G.
"Pérez Varela, Víctor",2016-08-03,40,Oficina Parlamentaria Senado,Proyecto de Ley que Moderniza la legislación aduanera,"Vio Zahr, Jorge Sebastián; León Santibáñez, Javier; Werner Méndez, Kenneth; ESPEJO VIDAL, RAMON SOLANO; HERRERA RIVERA, CRISTIAN ERASMO; Stephens Sotomayor, Juan Sebastián; Achurra Zúñiga, María Paulina",Cámara Aduanera de Chile A.G.
"Coloma Correa, Juan Antonio",2016-08-03,15,Oficina Regional de Talca,Seguridad vecinos Talca,"comigual alarcon, juan de dios",juan de dios comigual alarcon
"Tuma Zedán, Eugenio",2016-08-03,30,Congreso Nacional,"Estimado Senador Tuma, Nos encontramos realizando un estudio para conocer la percepción que importantes actores del quehacer nacional tienen sobre el mundo financiero y los actores relevantes del sector. El estudio requiere de entrevistas personales a líderes de opinión de diversos ámbitos, es por ello que solicitamos su participación como miembro de la Comisión de Hacienda y de Economía. La entrevista tiene una duración aproximada de 30 minutos y estará a cargo de un equipo profesional de GFK. El contacto para agendar la entrevista se realizará telefónicamente desde GFK Adimark durante Junio del presente año. Desde luego concurriremos a su lugar de trabajo o donde usted convenga. Considerando que su opinión es muy importante, nos gustaría conocer su disponibilidad para participar de este estudio. Le agradecemos de antemano por su buena disposición. Saludos cordiales, Gfk Adimark
Decisión específica que se solicita","astorga burgos, rebecca ignacia; Vallejos Sepulveda, Maria Jose",GfK Adimark Chile S.A.
"Allende Bussi, Isabel",2016-08-02,40,Senado Valparaíso,Propuesta de aplicacion Movil.,"Honorato, Jose Miguel",Jose Miguel Honorato
"Chahuán Chahuán, Francisco",2016-08-02,25,Oficina SENADOR CONGRESO VALPARAISO,Informar sobre proyecto central ciclo combinado nueva era.,"SAN MARTIN TRUFFY, EUGENIO; bickell, rodolfo; MORALES, PABLO; Espinoza, Daniela",EMPRESA NACIONAL DEL PETROLEO
"Pérez San Martín, Lily",2016-08-02,60,Senado Valparaíso,"Agenda legislativa en materia energética, realidad energética Quinta Región, presentación de fuentes de emisión de contaminantes, exponer acerca de la expansión de los sistemas de transmisión troncal, proponer los lineamientos para la política energética regional.","Balde Sepúlveda, Hermann Alfred",SEREMI DE ENERGÍA
"Guillier Álvarez, Alejandro",2016-08-02,30,Congreso Nacional,Problemas pesqueros en la VII° Región.,"Lara Gonzalez, Mario",Gustavo Eduardo Quiroz Rojas
"Chahuán Chahuán, Francisco",2016-08-01,60,OFICINA SENADOR EX CONGRESO SANTIAGO,"1) financiamiento de salud
aprobacion presupuesto octubre
ingreso en servicios de salud marzo
2) infraestructura: funcionamiento del departamento de construcción de establecimientos hospitalarios.
3) modificaciones a la ley 20.500.
4) reutilización de hospitales que quedan  fuera de uso después de construcción.
5) edificio y terrenos actualmente casi abandonados, catastro.
6) situación  organizaciones indigenas.","Fernandez, fresia; muñoz, luis; lecaros, luis; arias inzunza, pedro; aldunate, jose; gonzalez vilchez, carlos",Carlos Gonzalez
"Guillier Álvarez, Alejandro",2016-08-01,30,Ex Congreso Nacional,"LICITACIÓN DE TRANSPORTE DE GRANELES SÓLIDOS EN CODELCO DIVISIÓN MINISTRO HALES. NUESTRAS ASOCIACIONES GREMIALES TIENEN UN CONTRATO VIGENTE, EL QUE FUE TERMINADO ANTICIPADAMENTE POR MONTO","BASSI ESTAY, JUAN; BAUTISTA PIZARRO, MAYLING; CUEVAS PASTEN, LUIS; HIDALGO ALVAREZ, ROBERTO",ASOCIACION GREMIAL DE EMPRESARIOS DEL TRANSPORTE EL LOA
"García Huidobro Sanfuentes, Alejandro",2016-08-01,60,Senado Santiago- Morande 441,planes de trabajo para las comunas de la VIa. región,"Goic, pedro",servicio nacional de ccapacitación y empleo
"García Huidobro Sanfuentes, Alejandro",2016-08-01,60,Morandé 441 Santiago,"Dar a conocer alianza antipiratería que conforman todas las operadoras de televisión Directv, Claro, Movistar y manifestar la preocupación de la industria por el sostenido aumento de la piratería vulnerándose los derechos de propiedad intelectual.","Moreno Guzmán, Juan Pablo; Peirano Bustos, Gianpaolo",DIRECTV Chile Televisión Limitada
"Muñoz D`Albora, Adriana",2016-08-01,60,Senado,"PRESENTACIÓN ANTE LA SENADORA ADRIANA MUÑOZ DEL NUEVO PRESIDENTE DE LA ASOCIACION NACIONAL DE EMPRESAS DE SERVICIOS SANITARIOS, VICTOR GALILEA","GALILEA PAGE, VICTOR; Moreno Guzmán, Juan Pablo",Asociación Gremial
"Pizarro Soto, Jorge",2016-08-01,30,Mornadé 441,Se presentó por parte de los dirigentes de Corporación de actores de Chile la preocupación por indicaciones presentadas por el H. Senador  a lo cual hubo compromiso de revisarlos para ver posibilidad de retiro,"Cuadra, César; Caiozzi, Silvio; Zamora, Alena",Unión Nacional de Artistas A.G.
"Muñoz D`Albora, Adriana",2016-08-01,60,Senado,"Beneficios, uso, datos, posible ampliación de su uso y dudas sobre el Sistema de Monitoreo telemático (tobillera electrónica).","Giacaman, Valentina; Toro, Francisco",TRACK GROUP CHILE SPA
"Harboe Bascuñán, Felipe",2016-07-29,30,Senado Santiago. MorandÃ© 441,"Modificaciones a la Ley del Consumidor, estableciendo nuevas obligaciones para empresas de cobranza extrajudicial. Regulación aceptación o consentimiento vía telefónica, Proyecto SERNAC. Viernes 25 de julio a las 11:00 horas","hurtado valdes, sebastian; Mewes Schnaidt, Ricardo; guerrero serrano, jorge; Acuña Fernández, Christian; Melero Abaroa, Manuel",Camara Nacional de Comercio
"Ossandón Irarrázabal, Manuel José",2016-07-29,60,Oficina Senador Ex Congreso - Morandé 441,Proyecto de Ley de Identidad de Género,"Lizama Cisternas, Jimena Fernanda",Fundación Iguales
"Walker Prieto, Patricio",2016-07-27,20,Oficina Parlamentaria - Ignacio Serrano 509 - Coyhaique,"Crisis sector ganadero por cierre Planta Faenadora ""Cisne Austral""","Sandoval Carrasco, Marcos; Galilea Carrillo, Patricio",ASOCIACIÓN DE CRIADORES DE CORRIEDALE AYSEN LIMITADA
"Walker Prieto, Patricio",2016-07-27,20,Oficina Parlamentaria - Ignacio Serrano 509 - Coyhaique,Sobre elección de gobernadores regionales,"Chible Contreras, Miriam; Rauld, Daniela",AGRUPACIÓN FUNDACIÓN CHILE DESCENTRALIZADO DESARROLLADO
"Coloma Correa, Juan Antonio",2016-07-26,30,Oficina parlamentaria de Talca,"Sistema de alcantarillado para Abránquil y Puipuyen, VII Región","Navarrete, Hector; Barrera Díaz, Manuel; Navarrete, Carmen; Muñoz Pinto, Reinaldo",Cooperativa de Agua Potable Abranquil-Puipuyen Ltda.
"Montes Cisternas, Carlos",2016-07-26,30,Ex Congreso,"Se reciben antecedentes en relación a la situación laboral en la empresa SUBUS, operador de Transantiago.","MALDONADO OLIVARES, RICARDO",Ricardo Ivan Maldonado Olivares
"Girardi Lavín, Guido",2016-07-26,40,"Morandé 441, tercer piso",Dieron a conocer sus planteamientos en relación a la implementación y fiscalización de la ley N° 20.606.,"Fernández, Marlene; Dorfman, Natalio",Arcos Dorados
"Correa Pérez, María Josefina",2016-07-26,40,Morandé 441,No se realizó esta reunión.,"Duhart Suarez, Jean-Jacques",Asoc gremial
"De Urresti Longton, Alfonso",2016-07-26,45,"Oficina Parlamentaria, Independencia 625, piso 2",Asuntos de la Empresa Portuaria Corral en la comuna de Corral,"Mery Letelier, Francisco; Sprenger, Diego; Vera, Claudio; Elvenberg, Pablo",Portuaria Corral SA
"Navarro Brain, Alejandro",2016-07-25,60,Santiago,Contaminación comuna de Paipote.,"CERDA ESPÍNDOLA, Hilda; Cabrera Maldona, Catalina",Hilda Cerda Espíndola
"Ossandón Irarrázabal, Manuel José",2016-07-25,45,Oficina Parlamentaria Pasaje Luis BascuÃ±Ã¡n 1858,"Explicar y solicitar apoyo a la cruzada que estamos realizamos pacientes con diabetes tipo 1 para lograr que el Ministerio de Salud financie la terapia con bomba de insulina con monitoreo continuo, ya sea a través del Plan Auge o del segundo decreto de la Ley Ricarte Soto.","Gamonal Loyer, Hermes ; González  Guzmán, Marcelo",HERMES GAMONAL
"Harboe Bascuñán, Felipe",2016-07-25,30,Senado Santiago. MorandÃ© 441,Temas concernientes a las Cooperativas. Lunes 25 de julio a las 11:00 horas en dependencias del Senado en Santiago,"Alt Hayal, Marcela; Lagos Baquedano, Pedro Pablo",AG
"Ossandón Irarrázabal, Manuel José",2016-07-25,45,Oficina Parlamentaria Pasaje Luis Bascuñán 1858,Proyectos de Ley relacionados con la Industria de las Telecomunicaciones.,"Ceresuela Muñoz, Francisco; Muñoz Zuñiga, Claudio",Telefonica Chile SA
"Goic Boroevic, Carolina",2016-07-21,60,Oficina Senadora Congreso Valapraíso,Creación del Ministerio de Cultura,"retamales santiago, cristian; Herrera Silva, Olga Manon",Asociación Nacional de Funcionarios de Cultura ANFUCULTURA
"Montes Cisternas, Carlos",2016-07-21,30,Ex Congreso,Se recibe respuesta a diversas consultas realizadas respecto del servicio de la empresa en la circunscripción.,"Oliver Pérez, Juan Carlos; Urzúa Maturana, Rodrigo Antonio",Compañía General de Electricidad S.A.
"Arancibia Santibáñez, Cristian",2016-07-21,45,"Senado Santiago, Ex Congreso.  Morande 441","Movimiento de Accion Migrante - MAM, plantea la necesidad de aprobar una nueva ley migratoria.","Albuja, Tatiana; Cardoza, Eduardo; JARA BUSTOS, FRANCISCO",Movimiento Acción Migrante
"García Ruminot, José",2016-07-21,30,"Oficina Senador García Ruminot, Senado Santiago",Proyecto de Ley que moderniza la Legislación Aduanera,"León Santibáñez, Javier; HERRERA RIVERA, CRISTIAN ERASMO",Cámara Aduanera de Chile A.G.
"Allende Bussi, Isabel",2016-07-21,45,Guardia Vieja 392,"Desarrollo de una mineria virtuosa, inclusiva y sostenible.","García Hurtado, Alvaro",Alvaro Garcia Hurtado
"García Ruminot, José",2016-07-21,30,"oficina Senador, Senado Santiago, Morandé 441",Dan a conocer información de la empresa.,"Undurraga Ossa, Rodrigo ; Muñoz Sánchez, Raúl ; Herrera Aravena, Alejandro",Transbank S.A.
"Pérez San Martín, Lily",2016-07-20,60,Senado Valparaíso,Agenda legislativa y proyectos de ley en trámite sobre Cooperativas,"Aqueveque Lagos, Guillermo",fecrecoop
"Hurtado Roco, Maximiliano Andrés",2016-07-19,60,Oficina Senadora Isabel Allende,"Difundir información, sobre funcionamiento, logros, y metas futuras de SENAME Atacama, estadísticas y desafíos.","aguirre canto, anamaria; farias figueroa, maria gabriela; jara, paola gianina; salinas, mauricio",Servicio Nacional de Menores
